id	deck_name	category	subcategory	study_tier	suggested_start_week	kind	study_role	core_featured	app_active_default	japanese	romaji	english	usage_note	example_japanese	example_english	literal_breakdown	recommended_directions	issues	fixes_applied	source_order	source_note_id
MJD-001	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	は	wa — topic marker	Topic marker	Points to what you're talking about. Written は but said 'wa' as a particle.	私は アメリカ人 です。	I am American.	I [topic] → American → am.	jp_to_en			1	1776306275837
MJD-002	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	が	ga — subject marker	Subject marker	Marks WHO is doing the action. Used for emphasis or introducing something new.	神様が あなたを 愛しています。	God loves you.	God [subject] → you [object] → loves.	jp_to_en			2	1776306275839
MJD-003	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	を	o — object marker	Object marker	Marks the thing receiving the action — what is being read, loved, or eaten.	聖書を 読みます。	I read the Bible.	Bible [object] → read.	jp_to_en			3	1776306275841
MJD-004	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	の	no — possessive	Possessive — like 's in English	Connects two nouns. The first one owns the second. 私の = my.	私の 名前は ジョンです。	My name is Jon.	My [possessive] → name [topic] → Jon is.	jp_to_en			4	1776306275843
MJD-005	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	に	ni — to / at / on	To / At / On	Shows direction or location. Points toward where you're going or where something is.	教会に 来てください。	Please come to the church.	Church [direction] → please come.	jp_to_en			5	1776306275845
MJD-006	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	で	de — at / by	Where action happens / By means of	Shows WHERE something takes place, or the tool/method used to do it.	バスで 行きます。	I'll go by bus.	Bus [by means of] → go.	jp_to_en			6	1776306275847
MJD-007	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	と	to — and / with	And / With	Connects nouns together, or means 'together with' a person.	友達と 教会に 行きます。	I'll go to church with a friend.	Friend [with] → church [to] → go.	jp_to_en			7	1776306275849
MJD-008	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	も	mo — also / too	Also / Too / Me too	Replaces は or が to say 'also.' Great for agreeing or including yourself.	私も クリスチャン です。	I am also a Christian.	I [also] → Christian → am.	jp_to_en			8	1776306275851
MJD-009	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	か	ka — question	Question marker	Add か to the END of any sentence to make it a question. No word order change needed!	教会に 来ますか？	Will you come to church?	Church [to] → come? [question]	jp_to_en			9	1776306275853
MJD-010	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	ね	ne — right?	Right? / Isn't it?	Added to the end to seek agreement or soften a statement. Very friendly and common.	いい天気 ですね。	Nice weather, isn't it?	Good weather → is, right?	jp_to_en			10	1776306275855
MJD-011	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	から	kara — from	From / Because	After a place = 'from.' You will say アメリカから every single day on this trip.	アメリカから 来ました。	I came from America.	America [from] → came.	jp_to_en			11	1776306275857
MJD-012	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	まで	made — until / up to	Until / Up to	Shows an endpoint in space or time. 駅まで = up to the station.	駅まで 行きたいです。	I want to go to the station.	Station [up to] → want to go.	jp_to_en			12	1776306275859
MJD-013	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	です	desu — polite 'to be'	Is / Am / Are (polite)	The polite 'to be.' Ends almost every sentence. Makes you sound respectful.	私は クリスチャン です。	I am a Christian.	I [topic] → Christian → am.	jp_to_en			13	1776306275861
MJD-014	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	ます	masu — polite verb	Polite verb ending (present / future)	Attaches to a verb to make it polite. 行きます = I go. 食べます = I eat.	毎日 祈ります。	I pray every day.	Every day → pray.	jp_to_en			14	1776306275863
MJD-015	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	ません	masen — polite negative	Do not (polite negative)	Negative version of ます. 行きません = I don't go. 食べません = I don't eat.	肉を 食べません。	I don't eat meat.	Meat [object] → don't eat.	jp_to_en			15	1776306275865
MJD-016	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	ました	mashita — polite past	Did (polite past tense)	Past tense of ます. Swap ます → ました. 来ました = I came. 食べました = I ate.	アメリカから 来ました。	I came from America.	America [from] → came.	jp_to_en			16	1776306275867
MJD-017	JP Missions :: 00 Foundation	foundation	grammar	support	1	grammar_support	support	False	False	〜てください	te kudasai — please do	Please do ___ (polite request)	Attach to a verb to make a polite request. ゆっくり話してください = please speak slowly.	ゆっくり 話してください。	Please speak slowly.	Slowly → please speak.	jp_to_en			17	1776306275869
MJD-039-1	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	一	ichi	One	The first three numbers. に also means 'two' — same sound as the particle に, don't confuse them!	三人 います。	There are three people.	Three people → there are.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	39	1776306275913
MJD-039-2	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	二	ni	Two	The first three numbers. に also means 'two' — same sound as the particle に, don't confuse them!	三人 います。	There are three people.	Three people → there are.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	39	1776306275913
MJD-039-3	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	三	san	Three	The first three numbers. に also means 'two' — same sound as the particle に, don't confuse them!	三人 います。	There are three people.	Three people → there are.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	39	1776306275913
MJD-040-1	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	四	yon / shi	Four	Four has two readings: し (shi) or よん (yon). よん is more common in conversation.	五時に 来てください。	Please come at five o'clock.	Five o'clock [at] → please come.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	40	1776306275915
MJD-040-2	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	五	go	Five	Four has two readings: し (shi) or よん (yon). よん is more common in conversation.	五時に 来てください。	Please come at five o'clock.	Five o'clock [at] → please come.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	40	1776306275915
MJD-040-3	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	六	roku	Six	Four has two readings: し (shi) or よん (yon). よん is more common in conversation.	五時に 来てください。	Please come at five o'clock.	Five o'clock [at] → please come.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	40	1776306275915
MJD-041-1	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	七	nana / shichi	Seven	Seven = しち or なな. Nine = く or きゅう. Both readings are used — context tells you which.	九時に 礼拝が 始まります。	The service starts at nine o'clock.	Nine o'clock [at] → service [subject] → starts.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	41	1776306275917
MJD-041-2	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	八	hachi	Eight	Seven = しち or なな. Nine = く or きゅう. Both readings are used — context tells you which.	九時に 礼拝が 始まります。	The service starts at nine o'clock.	Nine o'clock [at] → service [subject] → starts.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	41	1776306275917
MJD-041-3	JP Missions :: 00 Foundation	foundation	numbers	support	1	vocab	support	False	False	九	kyuu / ku	Nine	Seven = しち or なな. Nine = く or きゅう. Both readings are used — context tells you which.	九時に 礼拝が 始まります。	The service starts at nine o'clock.	Nine o'clock [at] → service [subject] → starts.	jp_to_en	multi_concept_source_card	split_into_atomic_entries	41	1776306275917
